sampledate,air_temp,wind_speed_5m,par,opt_wtemp,opt_do_raw
2012-03-31T21:00:00Z,14.47,9.300151,1993.6692278327744,15.22,9.58
2012-03-31T21:30:00Z,14.57,8.433594,1914.333433686536,15.33,9.64
2012-03-31T22:00:00Z,14.64,8.464568,1803.402003428866,15.42,9.68
2012-03-31T22:30:00Z,14.42,8.114601,1662.7730046010956,15.49,9.53
2012-03-31T23:00:00Z,14.75,6.998754,1494.85263833851,15.55,9.77
2012-03-31T23:30:00Z,14.78,7.826941,1302.5140686753634,15.59,9.8
2012-04-01T00:00:00Z,14.84,7.116076,1089.0482618845663,15.6,9.84
2012-04-01T00:30:00Z,14.84,7.403102,858.1076770672016,15.6,9.87
2012-04-01T01:00:00Z,14.83,6.300853,613.6437716763172,15.59,9.89
2012-04-01T01:30:00Z,14.8,5.513654,359.83939093403484,15.57,9.9
2012-04-01T02:00:00Z,14.77,4.764279,101.03719811872067,15.54,9.89
2012-04-01T02:30:00Z,14.74,3.599675,0,15.5,9.87
2012-04-01T03:00:00Z,14.74,2.295619,0,15.47,9.84
2012-04-01T03:30:00Z,14.7,1.76415,0,15.45,9.8
2012-04-01T04:00:00Z,14.68,2.011557,0,15.42,9.81
2012-04-01T04:30:00Z,14.64,2.454196,0,15.39,9.81
2012-04-01T05:00:00Z,14.59,2.689584,0,15.36,9.8
2012-04-01T05:30:00Z,14.57,2.394358,0,15.34,9.77
2012-04-01T06:00:00Z,14.54,2.1895,0,15.31,9.77
2012-04-01T06:30:00Z,14.5,2.037153,0,15.29,9.77
2012-04-01T07:00:00Z,14.48,1.787923,0,15.25,9.74
2012-04-01T07:30:00Z,14.44,1.893227,0,15.21,9.74
2012-04-01T08:00:00Z,14.43,2.136188,0,15.18,9.71
2012-04-01T08:30:00Z,14.38,1.986168,0,15.15,9.71
2012-04-01T09:00:00Z,14.36,1.872859,0,15.11,9.7
2012-04-01T09:30:00Z,14.34,1.434615,0,15.09,9.69
2012-04-01T10:00:00Z,14.32,2.373187,0,15.07,9.67
2012-04-01T10:30:00Z,14.27,1.39425,0,15.02,9.65
2012-04-01T11:00:00Z,14.25,1.184413,0,14.96,9.62
2012-04-01T11:30:00Z,14.26,1.247318,0,14.92,9.57
2012-04-01T12:00:00Z,14.23,4.820099,0,14.91,9.63
2012-04-01T12:30:00Z,14.21,4.931844,0,14.87,9.6
2012-04-01T13:00:00Z,14.16,3.95711,0,14.81,9.59
2012-04-01T13:30:00Z,14.09,4.192826,0,14.79,9.62
2012-04-01T14:00:00Z,14.03,4.016723,45.60858148429985,14.76,9.69
2012-04-01T14:30:00Z,14,4.010678,304.8547884800642,14.73,9.69
2012-04-01T15:00:00Z,13.98,3.788864,560.1876011889228,14.71,9.72
2012-04-01T15:30:00Z,14,3.440898,807.2382044380664,14.71,9.7
2012-04-01T16:00:00Z,14.04,3.965284,1041.7794938877591,14.72,9.71
2012-04-01T16:30:00Z,14.07,3.800405,1259.7984030299515,14.73,9.73
2012-04-01T17:00:00Z,14.17,3.9560940000000002,1457.5645679207578,14.79,9.83
2012-04-01T17:30:00Z,14.28,5.085713,1631.694154627747,14.83,9.92
2012-04-01T18:00:00Z,14.32,5.617424,1779.2077576327065,14.9,9.89
2012-04-01T18:30:00Z,14.42,5.532877,1897.5813783152998,15,9.94
2012-04-01T19:00:00Z,14.51,6.344727,1984.7896111920804,15.11,9.99
2012-04-01T19:30:00Z,14.62,6.850619,2039.3402992164436,15.23,10.02
2012-04-01T20:00:00Z,14.71,6.685765,2060.300065001443,15.33,10.03
2012-04-01T20:30:00Z,14.82,6.663859,2047.3102811371245,15.45,10.03
2012-04-01T21:00:00Z,14.95,7.146416,2000.5932064324002,15.56,10.04
2012-04-01T21:30:00Z,15.05,7.016883,1920.948182979789,15.66,10.06
2012-04-01T22:00:00Z,15.15,6.963766,1809.73795921503,15.76,10.11
2012-04-01T22:30:00Z,15.19,7.250614,1668.8653729136763,15.85,10.09
2012-04-01T23:00:00Z,15.26,7.349302,1500.740793060179,15.91,10.12
2012-04-01T23:30:00Z,15.33,7.297786,1308.2408778399754,15.97,10.13
2012-04-02T00:00:00Z,15.37,7.661932,1094.6593541931982,16.01,10.15
2012-04-02T00:30:00Z,15.39,7.763467,863.6506611683983,16.02,10.14
2012-04-02T01:00:00Z,15.4,7.763308,619.1674215689488,16.03,10.14
2012-04-02T01:30:00Z,15.38,7.516754,365.39281143063624,16.03,10.16
2012-04-02T02:00:00Z,15.34,6.962195,106.66898464854388,16,10.19
2012-04-02T02:30:00Z,15.32,7.361032,0,15.99,10.16
2012-04-02T03:00:00Z,15.31,6.801197,0,15.98,10.15
2012-04-02T03:30:00Z,15.3,4.818995,0,15.96,10.12
2012-04-02T04:00:00Z,15.3,3.86448,0,15.93,10.09
2012-04-02T04:30:00Z,15.27,3.344198,0,15.9,10.08
2012-04-02T05:00:00Z,15.26,8.359546,0,15.89,10.05
2012-04-02T05:30:00Z,15.25,9.768967,0,15.87,10.03
2012-04-02T06:00:00Z,15.3,7.514825,0,15.84,9.82
2012-04-02T06:30:00Z,15.34,8.591018,0,15.81,9.5
2012-04-02T07:00:00Z,15.37,9.450296,0,15.78,9.49
