sampledate,T_W_20cm_Avg,T_W_50cm_Avg,T_W_100cm_Avg,T_W_150cm_Avg,T_W_200cm_Avg
2012-03-31T21:00:00Z,15.22,14.27,14.21,14.33,14.21
2012-03-31T21:30:00Z,15.33,14.39,14.32,14.44,14.34
2012-03-31T22:00:00Z,15.42,14.49,14.42,14.54,14.46
2012-03-31T22:30:00Z,15.49,14.57,14.5,14.62,14.54
2012-03-31T23:00:00Z,15.55,14.63,14.56,14.68,14.6
2012-03-31T23:30:00Z,15.59,14.67,14.61,14.73,14.64
2012-04-01T00:00:00Z,15.6,14.69,14.63,14.74,14.66
2012-04-01T00:30:00Z,15.6,14.69,14.63,14.75,14.67
2012-04-01T01:00:00Z,15.59,14.67,14.62,14.74,14.67
2012-04-01T01:30:00Z,15.57,14.66,14.61,14.72,14.66
2012-04-01T02:00:00Z,15.54,14.62,14.58,14.69,14.63
2012-04-01T02:30:00Z,15.5,14.58,14.54,14.65,14.58
2012-04-01T03:00:00Z,15.47,14.55,14.51,14.62,14.55
2012-04-01T03:30:00Z,15.45,14.52,14.48,14.59,14.53
2012-04-01T04:00:00Z,15.42,14.5,14.46,14.57,14.5
2012-04-01T04:30:00Z,15.39,14.47,14.42,14.54,14.47
2012-04-01T05:00:00Z,15.36,14.44,14.4,14.51,14.46
2012-04-01T05:30:00Z,15.34,14.42,14.38,14.49,14.42
2012-04-01T06:00:00Z,15.31,14.39,14.34,14.45,14.4
2012-04-01T06:30:00Z,15.29,14.36,14.31,14.42,14.37
2012-04-01T07:00:00Z,15.25,14.32,14.28,14.39,14.34
2012-04-01T07:30:00Z,15.21,14.28,14.23,14.35,14.3
2012-04-01T08:00:00Z,15.18,14.25,14.21,14.32,14.27
2012-04-01T08:30:00Z,15.15,14.22,14.17,14.29,14.24
2012-04-01T09:00:00Z,15.11,14.18,14.14,14.25,14.21
2012-04-01T09:30:00Z,15.09,14.16,14.12,14.23,14.19
2012-04-01T10:00:00Z,15.07,14.13,14.09,14.2,14.16
2012-04-01T10:30:00Z,15.02,14.09,14.04,14.16,14.12
2012-04-01T11:00:00Z,14.96,14.04,14,14.11,14.07
2012-04-01T11:30:00Z,14.92,13.99,13.94,14.06,14.02
2012-04-01T12:00:00Z,14.91,13.98,13.94,14.06,14.02
2012-04-01T12:30:00Z,14.87,13.94,13.9,14.01,13.97
2012-04-01T13:00:00Z,14.81,13.88,13.84,13.95,13.91
2012-04-01T13:30:00Z,14.79,13.87,13.82,13.93,13.88
2012-04-01T14:00:00Z,14.76,13.83,13.79,13.9,13.86
2012-04-01T14:30:00Z,14.73,13.79,13.75,13.86,13.82
2012-04-01T15:00:00Z,14.71,13.78,13.73,13.85,13.8
2012-04-01T15:30:00Z,14.71,13.77,13.73,13.84,13.78
2012-04-01T16:00:00Z,14.72,13.78,13.73,13.84,13.79
2012-04-01T16:30:00Z,14.73,13.8,13.75,13.85,13.8
2012-04-01T17:00:00Z,14.79,13.85,13.78,13.88,13.82
2012-04-01T17:30:00Z,14.83,13.9,13.83,13.91,13.85
2012-04-01T18:00:00Z,14.9,13.97,13.91,14,13.93
2012-04-01T18:30:00Z,15,14.08,14,14.09,14.02
2012-04-01T19:00:00Z,15.11,14.19,14.13,14.22,14.11
2012-04-01T19:30:00Z,15.23,14.31,14.25,14.35,14.26
2012-04-01T20:00:00Z,15.33,14.41,14.36,14.44,14.33
2012-04-01T20:30:00Z,15.45,14.54,14.47,14.55,14.42
2012-04-01T21:00:00Z,15.56,14.66,14.6,14.69,14.59
2012-04-01T21:30:00Z,15.66,14.77,14.71,14.8,14.7
2012-04-01T22:00:00Z,15.76,14.87,14.81,14.9,14.79
2012-04-01T22:30:00Z,15.85,14.96,14.89,14.96,14.84
2012-04-01T23:00:00Z,15.91,15.03,14.96,15.04,14.9
2012-04-01T23:30:00Z,15.97,15.09,15.04,15.12,15
2012-04-02T00:00:00Z,16.01,15.13,15.08,15.18,15.09
2012-04-02T00:30:00Z,16.02,15.15,15.1,15.21,15.14
2012-04-02T01:00:00Z,16.03,15.16,15.11,15.22,15.15
2012-04-02T01:30:00Z,16.03,15.16,15.11,15.22,15.16
2012-04-02T02:00:00Z,16,15.13,15.08,15.2,15.13
2012-04-02T02:30:00Z,15.99,15.12,15.06,15.18,15.12
2012-04-02T03:00:00Z,15.98,15.11,15.06,15.17,15.11
2012-04-02T03:30:00Z,15.96,15.09,15.04,15.15,15.09
2012-04-02T04:00:00Z,15.93,15.06,15.01,15.12,15.07
2012-04-02T04:30:00Z,15.9,15.03,14.98,15.1,15.05
2012-04-02T05:00:00Z,15.89,15.02,14.96,15.08,15.03
2012-04-02T05:30:00Z,15.87,14.99,14.93,15.06,15
2012-04-02T06:00:00Z,15.84,14.96,14.91,15.03,14.98
2012-04-02T06:30:00Z,15.81,14.93,14.88,15,14.95
2012-04-02T07:00:00Z,15.78,14.9,14.84,14.97,14.91
2012-04-02T07:30:00Z,15.76,14.88,14.82,14.95,14.9
2012-04-02T08:00:00Z,15.74,14.86,14.81,14.93,14.88
2012-04-02T08:30:00Z,15.71,14.83,14.77,14.9,14.84
2012-04-02T09:00:00Z,15.66,14.79,14.73,14.85,14.8
2012-04-02T09:30:00Z,15.64,14.76,14.7,14.82,14.77
2012-04-02T10:00:00Z,15.62,14.74,14.69,14.81,14.76
2012-04-02T10:30:00Z,15.6,14.72,14.66,14.79,14.74
2012-04-02T11:00:00Z,15.59,14.71,14.66,14.78,14.73
2012-04-02T11:30:00Z,15.59,14.71,14.65,14.78,14.73
2012-04-02T12:00:00Z,15.58,14.7,14.64,14.77,14.72
2012-04-02T12:30:00Z,15.53,14.65,14.6,14.72,14.67
2012-04-02T13:00:00Z,15.48,14.6,14.55,14.67,14.62
2012-04-02T13:30:00Z,15.47,14.58,14.53,14.66,14.61
2012-04-02T14:00:00Z,15.45,14.56,14.51,14.63,14.59
2012-04-02T14:30:00Z,15.42,14.53,14.47,14.6,14.56
2012-04-02T15:00:00Z,15.38,14.5,14.44,14.56,14.51
